"Grupa paragrafów";"Rodzaj finansowania wydatków";"Plan po zmianach";"Zaangażowanie";"Wykonanie wydatków";"Zobowiązania ogółem";"Zobowiązania wymagalne powstałe w latach ubiegłych";"Zobowiązania wymagalne powstałe w roku bieżącym";"Wydatki które nie wygasły z upływem bieżącego roku budżetowego"
"";"";158485000;156074179;156074179;3982943;0;0;0
"";"";116485000;114074179;114074179;3982943;0;0;0
"";"";93565000;92560938;92560938;3208806;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";642000;627582;627582;600;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";120100;120021;120021;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";32250000;32243333;32243333;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1974000;1973962;1973962;1993098;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";20000;19609;19609;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";4360000;4358079;4358079;302752;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";700000;651621;651621;38646;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";226000;170787;170787;17773;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1190000;1088078;1088078;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";4150000;4086254;4086254;44022;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";3360000;3043189;3043189;287577;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1740000;1654780;1654780;180;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";30469900;30425321;30425321;432096;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1440000;1418983;1418983;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";80000;78124;78124;3573;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";385000;378638;378638;8878;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";233000;225221;225221;56277;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";150000;140490;140490;803;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";133000;132287;132287;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";270000;230770;230770;851;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";932000;906732;906732;6354;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";413000;412636;412636;13306;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";373000;372332;372332;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";486000;484150;484150;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";9000;7637;7637;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1000;159;159;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";8000;7566;7566;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";200000;187657;187657;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";110000;68708;68708;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";240000;192077;192077;2020;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";1117000;1112679;1112679;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";3292000;3267393;3267393;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";2491000;2474083;2474083;0;0;0;0
"";"";14080000;13194766;13194766;738234;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";198000;192173;192173;300;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";7366000;7340742;7340742;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";465000;464348;464348;464356;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1300000;1076917;1076917;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";98000;97672;97672;88067;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1200000;1011104;1011104;70536;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";200000;174971;174971;11022;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";88000;79255;79255;6738;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";210000;88070;88070;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";320000;311864;311864;1931;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";225000;219506;219506;21708;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";200000;169724;169724;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1150000;1115768;1115768;57092;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";55000;49720;49720;4514;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";85000;72649;72649;5059;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";70000;54155;54155;6911;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";35000;34632;34632;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";13000;0;0;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";40000;19945;19945;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";80000;45418;45418;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";10000;2266;2266;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";100000;96925;96925;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";25000;21064;21064;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";67000;56557;56557;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";20000;1803;1803;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";60000;44021;44021;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";88000;48922;48922;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";312000;304575;304575;0;0;0;0
"";"";6800000;6759272;6759272;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";6680000;6668770;6668770;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";115000;89503;89503;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";5000;999;999;0;0;0;0
"";"";2040000;1559203;1559203;35903;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";3000;0;0;0;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";560000;506242;506242;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";592000;586622;586622;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";36000;35710;35710;30152;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";180000;92726;92726;4803;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";35000;12648;12648;518;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";7000;5180;5180;430;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";132000;131424;131424;0;0;0;0
