"Część";"Numer części";"Część";"Numer części";"Dział";"Numer działu";"Rozdział";"Numer rozdziału";"Dotacje i subwencje";"Świadczenia na rzecz osób fizycznych";"Wydatki bieżące jednostek budżetowych";"Wydatki majątkowe";"Wydatki na obsługę długu Skarbu Państwa";"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Środki własne Unii Europejskiej";"Ogółem (w tys. zł.)"
"KANCELARIA PREZYDENTA RP";1;"";"";"";"";"";"";42000;953;121721;6850;0;0;0;171524
"KANCELARIA PREZYDENTA RP";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";751;"";"";"";"";0;953;121721;6850;0;0;0;129524
"KANCELARIA PREZYDENTA RP";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";751;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";75101;"";"";0;270;95361;6550;0;0;0;102181
"KANCELARIA PREZYDENTA RP";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";751;"Biuro Bezpieczeństwa  Narodowego";75103;"";"";0;100;14400;300;0;0;0;14800
"KANCELARIA PREZYDENTA RP";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";751;"Odznaczenia państwowe";75106;"";"";0;0;10153;0;0;0;0;10153
"KANCELARIA PREZYDENTA RP";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";751;"Pozostała działalność";75195;"";"";0;583;1807;0;0;0;0;2390
"KANCELARIA PREZYDENTA RP";1;"Kultura i ochrona dziedzictwa narodowego";921;"";"";"";"";42000;0;0;0;0;0;0;42000
"Kultura i ochrona dziedzictwa narodowego";921;"KANCELARIA PREZYDENTA RP";1;"Narodowy Fundusz Rewaloryzacji Zabytków Krakowa";92123;"";"";42000;0;0;0;0;0;0;42000
"KANCELARIA SEJMU";2;"";"";"";"";"";"";0;80741;328763;21276;0;0;0;430780
"KANCELARIA SEJMU";2;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";751;"";"";"";"";0;80741;328763;21276;0;0;0;430780
"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";751;"KANCELARIA SEJMU";2;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";75101;"";"";0;80741;328763;21276;0;0;0;430780
"KANCELARIA SENATU";3;"";"";"";"";"";"";62000;17858;78454;17900;0;0;0;176212
"KANCELARIA SENATU";3;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";751;"";"";"";"";62000;17858;78454;17900;0;0;0;176212
"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";751;"KANCELARIA SENATU";3;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";75101;"";"";0;17858;78454;4900;0;0;0;101212
"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";751;"KANCELARIA SENATU";3;"Pozostała działalność (Opieka nad Polonią i Polakami za granicą)";75195;"";"";62000;0;0;13000;0;0;0;75000
"SĄD NAJWYŻSZY";4;"";"";"";"";"";"";0;19459;66386;2316;0;0;0;88161
"SĄD NAJWYŻSZY";4;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";751;"";"";"";"";0;183;66386;2316;0;0;0;68885
"SĄD NAJWYŻSZY";4;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";751;"Naczelne organy sądownictwa";75102;"";"";0;183;66386;2316;0;0;0;68885
"SĄD NAJWYŻSZY";4;"Obowiązkowe ubezpieczenia społeczne";753;"";"";"";"";0;19276;0;0;0;0;0;19276
"Obowiązkowe ubezpieczenia społeczne";753;"SĄD NAJWYŻSZY";4;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";75312;"";"";0;19276;0;0;0;0;0;19276
"NACZELNY SĄD ADMINISTRACYJNY";5;"";"";"";"";"";"";0;20953;327736;24763;0;0;0;373452
"NACZELNY SĄD ADMINISTRACYJNY";5;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";751;"";"";"";"";0;270;327736;24763;0;0;0;352769
