0001;;a;1;False;;01;;Część 1;KANCELARIA PREZYDENTA RP;1;42000;953;121721;6850;0;0;0;171524
0001-0751;0001;b;751;False;;01-751;01;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;0;953;121721;6850;0;0;0;129524
0001-0751-0001;0001-0751;c;75101;True;;01-751-01;01-751;Rozdział 75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;3;0;270;95361;6550;0;0;0;102181
0001-0751-0003;0001-0751;c;75103;True;;01-751-03;01-751;Rozdział 75103;Biuro Bezpieczeństwa  Narodowego;4;0;100;14400;300;0;0;0;14800
0001-0751-0006;0001-0751;c;75106;True;;01-751-06;01-751;Rozdział 75106;Odznaczenia państwowe;5;0;0;10153;0;0;0;0;10153
0001-0751-0095;0001-0751;c;75195;True;;01-751-95;01-751;Rozdział 75195;Pozostała działalność;6;0;583;1807;0;0;0;0;2390
0001-0921;0001;b;921;False;;01-921;01;Dział 921;Kultura i ochrona dziedzictwa narodowego;7;42000;0;0;0;0;0;0;42000
0001-0921-0023;0001-0921;c;92123;True;;01-921-23;01-921;Rozdział 92123;Narodowy Fundusz Rewaloryzacji Zabytków Krakowa;8;42000;0;0;0;0;0;0;42000
0002;;a;2;False;;02;;Część 2;KANCELARIA SEJMU;1;0;80741;328763;21276;0;0;0;430780
0002-0751;0002;b;751;False;;02-751;02;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;0;80741;328763;21276;0;0;0;430780
0002-0751-0001;0002-0751;c;75101;True;;02-751-01;02-751;Rozdział 75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;3;0;80741;328763;21276;0;0;0;430780
0003;;a;3;False;;03;;Część 3;KANCELARIA SENATU;1;62000;17858;78454;17900;0;0;0;176212
0003-0751;0003;b;751;False;;03-751;03;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;62000;17858;78454;17900;0;0;0;176212
0003-0751-0001;0003-0751;c;75101;True;;03-751-01;03-751;Rozdział 75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;3;0;17858;78454;4900;0;0;0;101212
0003-0751-0095;0003-0751;c;75195;True;;03-751-95;03-751;Rozdział 75195;Pozostała działalność (Opieka nad Polonią i Polakami za granicą);4;62000;0;0;13000;0;0;0;75000
0004;;a;4;False;;04;;Część 4;SĄD NAJWYŻSZY;1;0;19459;66386;2316;0;0;0;88161
0004-0751;0004;b;751;False;;04-751;04;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;0;183;66386;2316;0;0;0;68885
0004-0751-0002;0004-0751;c;75102;True;;04-751-02;04-751;Rozdział 75102;Naczelne organy sądownictwa;3;0;183;66386;2316;0;0;0;68885
0004-0753;0004;b;753;False;;04-753;04;Dział 753;Obowiązkowe ubezpieczenia społeczne;4;0;19276;0;0;0;0;0;19276
0004-0753-0012;0004-0753;c;75312;True;;04-753-12;04-753;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;5;0;19276;0;0;0;0;0;19276
0005;;a;5;False;;05;;Część 5;NACZELNY SĄD ADMINISTRACYJNY;1;0;20953;327736;24763;0;0;0;373452
0005-0751;0005;b;751;False;;05-751;05;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;0;270;327736;24763;0;0;0;352769
0005-0751-0002;0005-0751;c;75102;True;;05-751-02;05-751;Rozdział 75102;Naczelne organy sądownictwa;3;0;270;327736;24763;0;0;0;352769
0005-0753;0005;b;753;False;;05-753;05;Dział 753;Obowiązkowe ubezpieczenia społeczne;4;0;20683;0;0;0;0;0;20683
0005-0753-0012;0005-0753;c;75312;True;;05-753-12;05-753;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;5;0;20683;0;0;0;0;0;20683
0006;;a;6;False;;06;;Część 6;TRYBUNAŁ KONSTYTUCYJNY;1;0;4730;21660;450;0;0;0;26840
0006-0751;0006;b;751;False;;06-751;06;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;0;28;21660;450;0;0;0;22138
0006-0751-0002;0006-0751;c;75102;True;;06-751-02;06-751;Rozdział 75102;Naczelne organy sądownictwa;3;0;28;21660;450;0;0;0;22138
0006-0753;0006;b;753;False;;06-753;06;Dział 753;Obowiązkowe ubezpieczenia społeczne;4;0;4702;0;0;0;0;0;4702
0006-0753-0012;0006-0753;c;75312;True;;06-753-12;06-753;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;5;0;4702;0;0;0;0;0;4702
0007;;a;7;False;;07;;Część 7;NAJWYŻSZA IZBA KONTROLI;1;0;284;238722;18796;0;0;0;257802
0007-0751;0007;b;751;False;;07-751;07;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;0;284;238722;18796;0;0;0;257802
0007-0751-0001;0007-0751;c;75101;True;;07-751-01;07-751;Rozdział 75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;3;0;284;238722;18796;0;0;0;257802
0008;;a;8;False;;08;;Część 8;RZECZNIK PRAW OBYWATELSKICH;1;0;46;34464;914;0;0;0;35424
